@relation play_store_comments
@attribute class {mauvais, neutre, bien}
@attribute text String
@data
bien, 'bonne application Commentaire est puisse conseiller serez deçu essai autres c est meilleur '
bien, 'Commentaire marche lie formats souci wiko '
bien, 'ai besoin aller bibliothèque ai portable Commentaire Merci '
bien, 'class Commentaire tres bne appli mn rivalise avc slmt q reconnait pa autres types d fichiers apart pdf ds dossiers. c class affichage c more than adobe believe '
neutre, 'Dodo Eebok reader est petit d. interessant recommande paix '
bien, 'E book reader Commentaire Facile d utilisation j apprécié arrive maîtrise élément retrouve pages '
neutre, 'Commentaire appli permet ouvrir fichiers pdf pb faut faire chose pubs intempestives '
mauvais, 'lis epub Commentaire format est pris charge version installation propose version téléchargement effectué rien '
bien, 'Pratique retrouve documents seule appli est pratique '
bien, 'Pat possible rendre manipulation rapide recherche faire page veut lire sera top est connais instant merci travail '
bien, 'Parfait serait parfait avait pub '
bien, 'Commentaire Simple utilisation présentation livres étagères est bluffante pratique usage Merci '
bien, 'Awesome Commentaire love the apparence never had a problem while using it It\'s a good app '
bien, 'Parfait application est parfaite recommande '
bien, 'cherchais Commentaire Fonctionne pub gênant '
bien, 'Galaxie snote Commentaire Suite défaillance ai installé appli récupérer problème documents livres '
bien, 'Excellent Commentaire Super galaxy a impression lire livre réel '
mauvais, 'Doesn\'t support epub format ok but why epub if there exist already pdf '
bien, 'Nickel Praticité efficacité appli tire maximum possibilités téléphone '
bien, 'Magnifique appli est exelente permet telecharger plein livres '
bien, 'Commentaire Belle application Dommage pages intempestives pub bon faut accepter compromis recommande appli '
bien, 'Chargement rapide fluide sobre pages chargent n attend pages blanches avc d autres app fioriture est clean fluide serts gros doc est nickel '
bien, 'Excellent Application satisfaisante pratique bon affichage suis déçue '
bien, 'voulais Commentaire lire livre pdf '
bien, 'a pleindre Commentaire Tt livres pdf sont lisent '
neutre, 'Commentaire demande noter avoir utilisé changerai note '
neutre, 'cool cool '
bien, 'Livre Parfait lire livre retrouve page '
bien, 'Lecteur simple Application satisfaisante est rapide ajouter livres présents carte sd Merci équipe '
bien, 'bonne application Commentaire document j‘avais créé n‘arrivais l‘ouvrir my librairy lite pas problème recommande '
bien, 'Commentaire important voir livres jolie bibliothèque toiles araignées doivent être nettoyées '
bien, 'Commentaire Bonne application Simple efficace apprécie interface forme bibliothèque fichier est livre recommander '
bien, 'est sophistiqué lire pauvres pdf faut payer reader est complet gratuit Rapport qualité prix imbattable '
mauvais, 'Commentaire pratique tout impossible trier recherches envoi même rayon choix déconseiller mettre énerve heure ai passé commande pc '
mauvais, 'Commentaire application est faite mets étoiles c est facile gonfler prix mettre réduction côté arriver prix normal n a a regarder prix jouets réduction s rendre compte '
bien, 'sympa bonne application '
bien, 'Commentaire aime '
bien, 'Application pratique Commentaire Seul bémol notifications mettent jour manière automatique doublons '
bien, 'recommande o top cdiscount '
neutre, 'Commentaire a hauteur attendais '
bien, 'Commentaire Bonne application merci maggle '
mauvais, 'Commentaire aime '
bien, 'Commentaire Bonne application '
bien, 'Commentaire ???? est bonne application '
bien, 'Commentaire bon appli lente valider commande a mal supprimer articles veut '
bien, 'Commentaire adore application '
bien, 'Commentaire Tres bonne apply '
mauvais, 'Commentaire Impossible payer '
bien, 'Commentaire Indispensable '
bien, 'Commentaire '
mauvais, 'compatible fait package fichier soit incompatible Ics '
mauvais, 'Site escroc signaler a Commentaire respecte propres conditions générales vente Bafoue droit rétractation sav moque monde retournez achat reviendra recevoir boite avis passage comble devrez repayer frais port récupérer '
mauvais, 'Commentaire v est jolie façon faire l argent fait répéter 15fois questions vole fait v va '
mauvais, 'interactif réduction euros rayon supermarché inexistant téléchargement application '
mauvais, 'chosrs améliorer Impossible régler achat paypal Site bordélique pubs Pousse utiliser carte cdiscount options payantes dernière minute moment règlement difficiles éviter réactivité achat attente mail confirmation achat dépôts relais inexistants voir douteux '
mauvais, 'Commentaire Impossible payer application renvoie fois menu précédent veut payer met articles est seul '
mauvais, 'Commentaire vois intérêt avoir accès a photos vidéos appel intimité c pathétique '
mauvais, 'désinstallé qu Commentaire peut imprimerou télécharger factures appli site mobile impossible aller site normal mobile fait a ordinateur '
mauvais, 'est application espionnage appli demande acces a appareil photo historique identite telephone autres applis installé micro voulez mesurer longueur poils b**e '
mauvais, 'Édit appel passé réponse 1m attente procédure remboursement renouvelée geste commercial 15€ bon achat cumulable Merci est correcte fais mois attends remboursement 29€ ai appelé fois € ai impression attendent dépensent équivalent hotline rembourser Au rappels compte ligne gratuit '
mauvais, 'Tres perfectible c discount c est bcp ameliore appli plante presente site internet bcp fiches techniques erronnees d autre article dommage vendeur niveau a revoir '
mauvais, 'nul choisis articles impossible aller paiement beug 1h importe nul appli site Internet recommande '
bien, 'Commentaire Tres bonne application ai commender iphone 5s 32GO or ai recu '
bien, 'Cdiscount apli es a merveille conseille installer es sécuriser bon shopping a mer développeur '
mauvais, 'Nul occupe application voulais achetez galalaxy s5 noir a vais donnez a autre '
mauvais, 'Incompétent ai commandé vitre protéger écran téléphone ai reçu conseil site '
mauvais, 'bugs Commentaire Appli rame défilement pages tourne vide ferme route seule grave est prix affichés sont faux wiko getaway black gold cliquez article est même prix Seul avantage rapport version web sont promos flash faut arriver valider commande beugue Bref ampli intéressante y\'a boulot '
mauvais, 'nul Fait beuguè tel commander lit reçu cassé complet '
bien, 'Commentaire bugs affichage '
neutre, 'Commentaire Bonne appli pratique temps chargelent sont gache utilisation appli pense soit a connexion ai genre problèles autres applications '
bien, 'Offre commercial intéressante application Commentaire offre sympa application mobile reste fonctionne est jours '
neutre, 'mode paysage Commentaire Allez soyons fou vraie version tablette '
mauvais, 'Commentaire Bonne appli seul bemol fois ca rame impossible d acceder contenu Dommage '
neutre, 'bugs Commentaire aime application seul problème est plupart temps videos bug arrive a voir sont longues a charger cas est super lent serait régler super app '
neutre, 'Video making bug The video playback does not work except for the final render the video editor my viewers says the sound of my vines are pretty low a '
bien, 'Mieu mieu Commentaire Difficile faire mieu app snap fb '
bien, 'est cool aime application '
neutre, 'Cool aime application seul problème est veux mettre vidéo galerie marche fois corriger problème est ennuyeux '
neutre, 'Super lent application marche a merveille vidéos prennent temps a chargée '
bien, 'application Commentaire incruster musiques '
neutre, 'Commentaire peux prendre vidéo ai Samsung galaxy trend lite vidéos mettent plombe charger '
mauvais, 'Maj vite Commentaire arrive a mettre vidéo ai filmé vine ligne '
bien, 'Commentaire est énorme regardez catégorie humour Jerome jarre est énorme ^^ '
mauvais, 'Commentaire ine beug suis déconnecté vérifier chose fois veux reconnecter dise adresse mots passe est incorrect ai recréé compte même adresse même code informe adresse est utilisé ai refait même opération a refait même chose résultats ai perdu compte peut utiliser adresse réinitialisé mot passe vue envoi clique réinitialisé '
neutre, 'application bug dernière mise jour dommage impossible voir autre profils '
neutre, 'Commentaire part fait videos sont courtes reçois code confirmation SMS '
bien, 'Cooooooool est marrant voir gens ont chance '
bien, 'Vine avez sec '
mauvais, 'Commentaire annot upload videos from phone gallery '
mauvais, 'Commentaire e sais cmt marche parait cool '
bien, 'Commentaire ool '
neutre, 'Commentaire a dernière mise jour mis application nul '
bien, 'Génial adore réseau social '
bien, 'It It was the best in the world mother fucker '
neutre, 'mise jour Commentaire nouvelle mise jour est nul '
neutre, 'Commentaire onne appli sens vais désinstaller apllication mise jour jarrive connecter propre compte '
bien, 'conseil '
bien, 'Commentaire jouter éditeur son serait parfait '
mauvais, 'Galaxy s3 Commentaire Ca bug '
mauvais, 'suis déçu arrive inscrire '
bien, 'Commentaire e top '
bien, 'Commentaire xcellent conseil '
mauvais, 'Commentaire mpossible créer compte '
bien, 'Commentaire ieu snap '
bien, 'Commentaire rop '
neutre, 'Commentaire rop bug moment '
bien, 'aime Commentaire appli est grave '
mauvais, 'bugs moment. '
neutre, 'Géniale Commentaire Géniale gros bug peux chercher gens trouve marche '
bien, 'Bonne maj Commentaire mise jour ai problème rien dire ? '
neutre, 'Super arrive activer tel ai beau faire demande renvoi sms fait Dommage messages 3? '
bien, 'peut regarder vidéo charge pareil profits pourrez changé svp '
bien, 'Code confirmation Commentaire ai mis numéro envoie code confirmation ont envoyer '
bien, 'Menu appli est exellente ayant bouton menu galaxy petit retirer match favoris est étoile Merci remédier a petit problème '
bien, 'bonne application Commentaire adore foot application convient est parfait arrive suivre telecharge attendre '
bien, 'Commentaire ppli parfaite Seul petit détail moindres reçois notification même mettant matchs favori suis lg '
mauvais, 'Gros bug Commentaire fois lance aplication ferme affiche resultat foot est arreter '
bien, 'Commentaire xcellente application Énorme choix matchs travers monde décalages notables direct '
bien, 'Cool Cool gant dit cool c coul '
bien, 'Commentaire rès problème est alertes buts sont décalées rapport '
bien, 'Tres ai essayer application meilleur peut choisir c equipe prefere voir suite resultats conseille aplis '
bien, 'Commentaire aime appli seul bémol y\'a mode paysage tablette dommage '
bien, 'cool Commentaire Jaimerais pouvoir voir classement meilleurs buteurs qualité suivre match est parfaite '
neutre, 'a manque Possesseur d n a touche acceder menu l appli consequent impossible d aller classements dommage '
neutre, 'Bonne appli Commentaire Manque fonctionnalité diversité fluidité interface part bonne appli fait taff bons détails matchs bonnes infos bon suivis direct bonnes alertes appli simple pratique utilisation '
bien, 'Commentaire adore appli sers temps '
bien, 'Commentaire res etoiles attention bug mise a jour '
bien, 'Magnifique n ai trouver résultat précision '
bien, 'trop kifan mai inpeu retard but can regarde meme tan a télé mai jaime infiniter '
bien, 'Commentaire appli sert aime matin voir résultat match veille '
bien, 'Commentaire res aise avc aplk connection est facile matchs sont directs '
bien, 'sympathique trouve site petit bémol est a décalage action '
bien, 'Commentaire e met note appli parfaite dommage galaxy note n ai aces classements '
bien, 'appli enfer Commentaire est cool peux avoir résultat match peux regarder '
bien, 'Alerte but exetera est photos est est manque juste regarder match '
bien, 'parfait ai bein sports canal adore foot apli permet suivre equipe '
bien, 'Fan foooot aplis rate match Dommage a commentaire match féminin '
bien, 'Commentaire rès bonne apli Merci Vive foot(sans haine '
bien, 'Gro bugg laplis bloc arret mise a jour urgente '
bien, 'chose importente est tres bonne defaut publicités minimisent fonctionalité a accés match reduit qualité application merci developeurs '
bien, 'cool Commentaire Super appli permet suivre temps réels equipes championnats favoris '
mauvais, 'aurais(j\'eusse aimé avoir nom buteurs divisions inférieures bonne appli excepte fautes français avis commentaires '
bien, 'Commentaire rop bonne application resultats matchs informations buts cotes '
bien, 'Commentaire est dommage compositions équipes soit détaillés plat terrain bonne appli '
bien, 'Super Appli étoile aurez 5eme rajoutant classement buteurs important '
mauvais, 'pire pire important pubs chiantes probleme d horaires c est faire merde arretez maj remettez precedentes versions faites autre job gars '
bien, 'Impec Commentaire faudrait pouvoir régler son alertes femme fait bons min pouvoir choisir côtes différents bookmakers '
mauvais, 'étoile demande autorisations étant inutiles infos appels '
bien, 'Super est voir résultats descriptions sont '
bien, 'Cool cool Commentaire super regard match travail même ya télévision '
neutre, 'réinstalle réinstalle bugs dommage ampli est super '
bien, 'Commentaire xcellent est titre seul bémol réglage notifications changer '
bien, 'Cool Cool '
neutre, 'Bonjour fais parti équipe choc sommes niveau clan points banque aurait dû gagner apparaisse tout gagne xp clans savons rien est expliquer attend reponse '
bien, 'bugs magnifique application est parfaite avait couleurs emblèmes pouvait modifier classes aurai été '
bien, 'c bon Commentaire énorme information recherche clan ps4 suis majeur fini fois jeu mode commando vétéran '
neutre, 'Commentaire peut faire enblème sert a grand chose même Télécharger juger '
bien, 'Prestige ancien call of Commentaire prestiges précédents call of affichent monde profil petit détail bon est fonctionne '
neutre, 'Beug hier Commentaire ai fait emblème smartphone samsung galaxy s appli veut ouvrir '
mauvais, 'Nul peut tester mots passe vont dire n est '
bien, 'mal Commentaire opérateur est bon ai full skin zombie application met black naked '
bien, 'Commentaire Bonne application conseille joueurs cod advanced warfare '
bien, 'recrute c est clans nom sourire '
mauvais, 'Marche Commentaire reconnait compte j créé nouveau connecte ? '
neutre, 'Problème emblème historique Commentaire peut besoin mettre même emblème team voit historique différents call of correct appli rappel black ops changement '
bien, 'Application super beug niveau emblèmes Recrute '
neutre, 'Commentaire édition embleme marche '
neutre, 'Bonjour gagne xp clan hier est aretter monter lvl a jeton l devai gagner merci resoudre soucis '
bien, 'Problème moyen sauvegarder embleme part appartenir clan sert rien '
bien, 'Recrute team recrute ps3 entretenir kevin2995 envoyer demande application '
bien, 'Commentaire marche appli changer portable merde '
bien, 'Commentaire Tres bonne appli dommage peut personnaliser personnage '
bien, 'alexrom51 Faucon recrute joueur venez bonne applis '
bien, 'Commentaire peux gérer clan distance est '
mauvais, 'Super nul Commentaire Super éditeur emblèmes marque problème connection enregistre faire emblèmes soient supprimé appli désinstaller '
mauvais, 'Gros bug Commentaire application ensemble est bonne arrive a avoir acces a clan acces clan appli sert a rien temps temps acces a compte mise a jour '
bien, 'Cherche clan Commentaire cherche clan dynamique sympa fais guerres clan suis majeur précise ? '
bien, 'ty smoky Commentaire salut teams smoky recrute ps3 ps4 '
neutre, 'Probleme operateur Commentaire appli soit est ai modifié perso jeu appli vois modifications a corriger '
mauvais, 'Inutile Application inutile fonctionne '
bien, 'Clan clan recrute bonne entente am '
mauvais, 'Commentaire marche '
bien, 'recrute Niveau Contactez x '
neutre, 'Commentaire j ai trouver classes '
bien, 'Commentaire fait monter niveau clan '
bien, 'Commentaire Cherche clan psn dont_you_kild(je suis prestige lvl25 '
bien, 'Petit Problème Commentaire partie emblèmes marche peux copie créer emblème Merci prendre compte problème '
mauvais, 'embleme Commentaire Impossible sauvegarder embleme cree editeur '
mauvais, 'application charge dit connexion serveur a été perdue '
mauvais, 'Incomplet trouve application mériterais contenu fonctionnalité exemple pouvoir créer classes emblèmes '
neutre, 'Commentaire Ont peux meme cheker guerre cln voir modes qun doit faire veux faire geurre clan '
bien, 'Excellent application fonctionne a bug vaut stars '
mauvais, 'arrive connecter compte dit jouer partie multijoueur ai faire 100aine '
mauvais, 'Gros bug Note Commentaire marchait super plante arrête ouvert '
mauvais, 'peut ajouter dimage juste modifier base effet correction yeux rouges desinstalle Commentaire Nul '
mauvais, 'Commentaire fonctionne clique licone attendre reste image blanche sais domage laplication a lair genial '
mauvais, 'Utilisation impossible Commentaire suis tablette samsung l appli telechargee n a avoir descriptif peut juste choisir photo mettre effet comprend '
bien, 'Commentaire Super application est dommage puisse écrire '
bien, 'Cool Simple cool version française '
mauvais, 'A apeine télécharger ca plante déconseille '
bien, '
bien, 'Photoshop Super c est super cool merci super apli '
mauvais, 'croiyer Commentaire voiyent plusieur vidéo Youtubers vais pouvoir faire plein trucs peux faire tablette portable peut faire '
bien, 'top Commentaire pc complet photos téléphone '
bien, 'cool a plu peux changer photos impressionner amis '
mauvais, 'Commentaire samsung tab3 peut faire selectionner photo mettre filtre est déçu appli marche fonctionne mal. '
mauvais, 'Déçu avais acheté version touch galaxy note 8€ perdu application ai compatible galaxy note version express est nul vu plante fois ouvre photo aimerais pouvoir retrouver photoshop touch note ai payé est avais utilité '
bien, 'meilleure application retouche Commentaire Superbe application filtres options impressionnant étant gratuit manque juste possibilité marquer texte photo '
bien, 'Super aime application résultats sont excellent baigne '
bien, 'kifff Commentaire aime photoshop ai ordi mobile est payant énorme dévélopeur Conseils télécharger appli '
bien, 'Super est bonne application prend place vaut coup '
mauvais, 'Commentaire application aurai été chouette avait choix d effet '
bien, 'Super trop vais pouvoir faire plein truc '
bien, 'Excellent Commentaire ai premium o top '
mauvais, 'Impossible ouvrir ai E1 application ferme essaye ouvrir Dommage '
mauvais, 'Inutilisable avais est compatible Note perds 8€ Malheureusement peut remplacer puisqu\'il referme sélectionne photo modifier redonnez '
bien, 'Commentaire vis est passion Ahhhhhhh est super kiffe nouvelle version '
bien, 'App intéressante Commentaire essaye atteint objectif Bonne chance utilisateurs '
bien, 'Bonne application Commentaire est super recommande '
bien, 'Commentaire vrai manque juste application ajout texte '
mauvais, 'Nul est merde peut juste mettre couleur nul '
mauvais, 'marche Commentaire ouvre appli ai écran blanc ai notification application répond conseille '
bien, 'Merci Commentaire excellente application amuser production suis studio sympathique '
mauvais, 'Commentaire est impressionnant tablette peut jjuste mettre effets c tt '
mauvais, 'Commentaire appli ferme sélectionne filtre photo '
bien, 'appli est superbe j adoooore wonderful '
bien, 'Commentaire Cooool coool '
neutre, 'Commentaire efficace expérience professionnelle '
mauvais, 'Coool '
bien, 'Cool cool '
bien, 'Super étant photographe trouve aplis génial recommende info facebook Statut '
bien, 'Cool serait cool puisse écrire est super '
bien, 'Commentaire mot super cool ca fait ca merite grace a ca deviens pro P fait suis lolman clash of clans a voir modifie trucs telechargement appli est asser long '
bien, 'parfait hall enregistrement est connu avance porte embarquement serait bon ajouter est définie '
bien, 'Commentaire uper appli '
mauvais, 'Application arrete Commentaire est impossible ouvrir carte embarquement application arrete message erreur signifant application est arretée fois tente ouvrir carte embarquement ai probleme mise a jour recente '
mauvais, 'Absence cartes embarquement enregistrement pratique est pénible cartes embarquement sont disponibles vols réserve ai chance marche est impossible obtenir carte faut trainer page pratique Pour enregistrer faut connaitre cœur numéro vol réservation faire va viens écrans application Mes vols S\' enregistrer est application pratique condition avoir papier crayon imprimante '
bien, 'fonctionnelle bonne appli pratique fonctionnelle robuste mauvaises comm 3G- Mise jour temps réel horaire exemple cas retard petit grosse Seul bémol préférence siège allée/hublot saisie profil voyageur site semble être prise compte Problème appli système résa général sais Autre amélioration possible indiquer possible porte embarquement est connue évitera traverser aérogares courant '
bien, 'bonne appli Commentaire grand chose dire Esthétique fonctionnelle réussite '
bien, 'efficace Commentaire carte embarquement disponible ligne '
bien, 'Commentaire a marche '
bien, 'Commentaire '
bien, 'Commentaire rès utile '
bien, 'pratique Commentaire informations ai besoin sont '
bien, 'OK agenda Commentaire diable inscrire vols agenda choix '
bien, 'Superbe application Commentaire évolution ancienne version est jour nuit mises jour régulières sont appréciables Continuez '
bien, 'Nette amélioration Commentaire Bonne application permet gagner temps Nette amélioration suite màj ergonomie est probleme enregistrement '
neutre, 'bugs Commentaire impossible avoir plan cabine changer siège '
bien, 'bonne application Commentaire sont passés tarifs jeune dernière mise jour a soucis réservation billets lundi attends mise jour voir va '
mauvais, 'Impossible utiliser nouvelle version plante mouline minutes plante a fois l utilise Impossible obtenir boarding pass Impossible regarder reservations fonctionne Catastrophique '
bien, 'Ok voyages famille Commentaire appli impassible obtenir cartes embarquement voyage famille carte telechargée appli personnes faut numéro téléphone différent personne fait qd a enfants téléphone Bref retour papier '
mauvais, 'installation Application utile facile utilisation serait avait moyen installer tablettes portables moyen effet installer tablette android aura t solution rapide '
mauvais, 'pub Commentaire appli vomit pub volet notification Désactivation impossible suppose paye billet avion cher désinstalle '
mauvais, 'Inutile voyageurs Dommage ait application similaire '
bien, 'Commentaire rès pratique pourait associer carte embarquement disponibilité '
neutre, 'Commentaire Bonne application téléphone mobil existe version tablette tab S dommage autres existent tablette version tablette tab S '
mauvais, 'Notification étoile reçois notifications publicitaire sont désactivées application '
bien, 'Commentaire Applications pratiques complète '
bien, 'bonne application Commentaire Design sympa agréable utiliser Point négatif icône application est beau espère mise jour '
bien, 'Passage androphone Commentaire appli est géniale besoin rien imprimer avez soucis arrivée est magique '
mauvais, 'Commentaire l a '
neutre, 'Incompatible galaxy tab Commentaire semaine apres message mises jours toujour compatible compatibble nombreuses tablette lowcost smartphones low cost soucis Allo a speciale '
bien, 'Commentaire Est est normal mise a jour revenir écran mise jour Jai dernière version application semble acharner renvoyer mise jour peux fair3 deja faite -/ ennuyant '
bien, 'Commentaire Beau design rapide '
bien, 'Commentaire k '
mauvais, 'Déçu appli fonctionne dernière mise jour carte embarquement vols pub '
neutre, 'Commentaire n arrive réserver vol l appli faire '
bien, 'Parfait Commentaire Voyager air-france '
neutre, 'Problème enregistrer Commentaire desenregistre souci même reste lourd enregistrer autre vol fonctonne conserve ancien vol '
neutre, 'complète appli Commentaire nouvelle version appli voulait est impossible enregistrer carte fidélité faut taper numéro billet dossier réservation pratique Autre menu incomplet rubrique coordonnées manque pays ai problème dois composer numéro français lieu numéro local numéro téléphone fonctionne numéro chiffres métropole '
bien, 'Commentaire pplication simple utiliser est parfait '
bien, 'Cool Rien signaler correcte '
bien, 'Commentaire ratique '
bien, 'Commentaire bugs résolus rajoute étoiles pouvais voir notes aller détail film serait faute '
mauvais, 'Commentaire application met notification envoie centaine fois suis obligée mettre mn portable mode muet tlmt bruit est insupportable application cesse fonctionner '
bien, 'Utile est bonne appli peut savoir films sont moment cinémas découvrir séries avoir infos stars '
mauvais, 'veulent Commentaire Urgent galaxy s4 choisit cinéma est ok fait défiler jours programmes contredit beug avance jours semaine annonce visionner programmes certains figure cinéma proposer pui recule nouveaux programmes paraît coup obligé d aller vérifier d autre site certe sela toujour juste retour désagréable perte temps pouvait remédier a problème Merci '
bien, 'Commentaire est '
bien, 'Commentaire application a évolué reste défauts goût intégration vidéos articles est idéale fil news devrait pouvoir permettre trier catégorie trouver intéresse Continuer est cinquième étoile '
mauvais, 'Commentaire Compte fonctionnalités inaccessibles Impossible déconnecter noter partager critiquer film '
bien, 'Commentaire Pourrait proposer films sorties semaine liste sorties afficher liens critiques '
neutre, 'Belle interface Crashs fréquents démarrage publicité envahissante '
mauvais, 'Modèrons modérateurs Commentaire enlève étoiles modèrer modérateurs modèrent bornes être modéré ai fermé compte AlloCiné cause retournent école rire réviser humour doit critiquer films étant bonne humeur même a impression est fois foutu gueule spectateur disait cons osent est reconnaît modérateurs '
mauvais, 'tablettes Veux jouer cours grands est capable écouter nombreuses voix demandent années compatibilité mode paysage possesseurs tablette fait '
bien, 'améliore Commentaire début chaotique application allociné dernières versions commencent être respectables reste bugs mineurs '
mauvais, 'News news sont mise a jour deplus a article permis mater dommage aplis fait partie seule applis tolere smartphone jespere est bug quil sera corriger avenir '
mauvais, 'bug Commentaire Bug minutes utilisation plantages '
bien, 'Super appli lecteur vidéo est terrible coup difficile regarder bande annonce '
bien, 'Paysage portrait Commentaire regrette pouvoir avoir choix tablette peux acceder page qu mode portrait dommage est suis fan '
bien, 'Commentaire application bugge qu marchait teste t '
neutre, 'Commentaire nouvelle version prive news grâce fanzone est diffusé est informé nouveautés '
neutre, 'options site Commentaire pas arrière avait été fait grosse mise jour précédente rétabli a accès fonctionnalités site '
bien, 'Utile sert tenir informé sorties ciné connaître séances proche '
