@relation play_store_comments
@attribute class {mauvais, neutre, bien}
@attribute text String
@data
bien, ': Oua c genial Commentaire : Je kiff grave car jadore cyprien et jaimefai lui poser un question : est ce que tu connais squeezie ( ca c oui c sur ) norman kihouu tal blackm ... . '
bien, ': Très bonne appli Commentaire : J\' adore cette application de Cyprien , aucun bug , la présentation est claire , à chaque qu\' une nouvelle vidéo est publiée je suis informé par une notification . Je conseille fortement cette application aux fans de Cyprien . '
mauvais, ': Probleme d\' icone Commentaire : Depuis que j\' ais installer la nouvelle maj 1.20 l\' icone de l\' application a disparu mais sinon avant d\' avoir installer la maj l\' application eteait tres bonne '
mauvais, ': Bug Commentaire : Moi aussi il y a un beug , ca ne veut pas s\' ouvrir . Mais moi aussi j\' adore Cyprien ! '
bien, ': Bug Commentaire : Des que je lance l\' application il bug mais je l\' ai sur mon iPod est c\' est très bien ! '
bien, ': Juste un truc Commentaire : Je ne peux mettre 5 pour une chose lorsque je quitte la page sous Android et que j\' y retourne 30 sec après rien n\' est en mémoire je dois me reconnecter et remettre mes matchs à chaque fois ... bref je perds tout c bien relou ! Mais jaime bien lappli sinon juste le côté pratique ou j\' ai un peu de mal : -/ désolé , une correction à cela nan ? ? ? '
mauvais, ': Passe à côté de son objectif Commentaire : Une app Betclic , c\' est censé permettre de parier sur les matches ! Surtout qu\' ils en font la pub à la TV avant les matches ! Le site mobile de Betclic est pourrave , j\' ai raté de gros gains à cause de son fonctionnement , et aussi en me faisant avoir par l\' intérêt inexistant de cette application trompeuse . Bref , ne sert à rien en l\' état . '
mauvais, ': Commentaire : ien le désert ! ! ! ! ! Il n y a rien ou est l option coupe du monde ? ? ? ? '
bien, ': J aipe le football Commentaire : Mon joueur préféré ces Lionel Messi '
bien, ': Commentaire : \' aime betclic c\' est pour cela je me cinq étoiles '
mauvais, ': Belgique absente ! Commentaire : Impossible de s\' inscrire si vous êtes né en Belgique , absente dans la liste ... Ridicule ! '
bien, ': Commentaire : énial pour suivre la Coupe du Monde ! '
bien, ': Commentaire : apiti cool '
bien, ': Testé & satisfait Commentaire : Testé & satisfait : no comment '
bien, ': Commentaire : rès bonne app . J\' adore ! '
bien, ': Super Commentaire : Ce qui me manqait pour reussir les paris , coool . '
bien, ': Avec betclic live je suis tous mes resultats en directe sur mon smart . Commentaire : Je maintenent heureux car j\' ai l\' appli betclic et cela me facilite la tache '
bien, ': Commentaire : agnifique , je tout les informations ! ! '
bien, ': Commentaire : a bon '
bien, ': J\' ai adoré . Commentaire : J\' ai adoré . '
bien, ': Commentaire : trop coool '
bien, ': top Commentaire : Trop sympa ! ! ! '
bien, ': Commentaire : ai pa mal '
neutre, ': Commentaire : ui bof '
bien, ': Commentaire : out caler '
bien, ': Commentaire : ul '
bien, ': Commentaire : aime '
mauvais, ': Impossible de s\' inscrire Commentaire : Il y a plus d\' 1 âne qui s\' appelle Martin , quand je m\' inscris avec mon nom on me répond que le nom existe déjà lol ben oui je ne suis pas unique ! ! ! '
mauvais, ': Commentaire : as du tout pratique , on ne peux pas effectuer de recherche et la présentation n\' est pas non plus exceptionnelle. . '
neutre, ': BetClic , faites quelque chose ! Commentaire : Je dis ça pour vous mais c\' est valable pour toute les applis de paris . Je trouve ça dingue qu\' il n\' y ait aucune applis qui permet de parier en ligne sur Android , alors que sur Apple , il y en a minimum 4. . Allez BetClic , faites nous rêver ! '
mauvais, ': A revoir Commentaire : Pas du tout ergonomique et impossible de parier avec cette application . '
neutre, ': Pas mal Commentaire : Pas mal mais ca fait pas le principal ... parier ... . '
mauvais, ': Commentaire : quand les paris sur mobile sous android '
mauvais, ': Commentaire : rancheche zéro : * ) : @ '
mauvais, ': Commentaire : res nul '
bien, ': Commentaire : erci '
bien, ': Commentaire : ote pour tous bet clic ( ou l ont peu parier en . live ) peu s intaller il sufit ds bet clic live de telecharger l apli ( il faut cliquer sur la pub pariez en bas et dl l appli et il faut cocher ds reglages autoriser installation source inconnu ) ENJOY . Sinon sympa . Pour les live manque plus que du streaming et ca sera top '
mauvais, ': Instable Commentaire : Application instable sur s3 , qui ram et fait chauffer le processeur , restez sur le pc ou aller consulter directement sur internet par mobile '
mauvais, ': Nul Commentaire : On ne peut pas parier avec l \' appli aucune utilité '
mauvais, ': Plus pourrie , tu meurs ! Commentaire : Une belle pub et puis plus rien ! Virée illico ! '
mauvais, ': Sert a rien . Commentaire : Cette appli n\' est pas a la hauteur de sa marque . Les côtes sont introuvables . Le parcours de l\' appli est trop rapide . Ya rien a voir . Rien a faire . Cest moche et cest pas beau . Bravo les gars ! ! ! '
mauvais, ': Elle sert à quoi cette apli ? ? ? Commentaire : Impossible de parier voir les côte ou se connecter ... autant rien faire ... '
bien, ': Ebook Pelerin Commentaire : Super installation , ai acheté un ebook chez Bayard . Suis pas déçu . '
bien, ': Ebook et PDF Reader Commentaire : Avec ceci , j\' ai desinstallé les autres applications reader , car j\' en ai plus besoin . Merci pour cet outil merveilleux . '
bien, ': Bien mais ... Commentaire : Très bonne application , quelques améliorations peuvent être néanmoins apportées au niveau et ergonomie . '
mauvais, ': Trop confus Commentaire : Pas intuitif ... Et ras le bol des " rate " . Donc poubelle et je deconseille . '
mauvais, ': bof Commentaire : de la pub , me trouve mes pdf mais pas mes epub l autre ebook reader est 100 fois mieux '
bien, ': Commentaire : Quel plaisir de pouvoir lire ses romans et d\' annoter , de commenter ses propres ouvrages et tout cela sans être gène par la pub ! ! Grand merci ! ! ! '
bien, ': Commentaire : Ok c\' est trop cool mais je ne sais pas si il peuvent surligner les mots '
bien, ': Une très bonne application Commentaire : C\' est le mieux que je puisse vous conseiller . Vous ne serez pas deçu \' après essai de plusieurs autres \' c est le meilleur ! ! ! '
bien, ': Très bien Commentaire : Il marche très bien lie plusieurs formats pas de souci avec mon wiko '
bien, ': Je n\' ai plus besoin d\' aller à la bibliothèque . J\' en ai une sur mon portable . Commentaire : Merci Ebook Reader ... '
bien, ': La class ! ! Commentaire : C une tres bne appli sur mn Pantech Adreno 9090 ... ça rivalise avc Adobe. . slmt q ça ne reconnait pa d\' autres types d fichiers apart les pdf , ds les dossiers. . mais sinon c la class . l\' affichage c more than adobe reader. . believe ! € '
neutre, ': Dodo Commentaire : Eebok reader n\' est pas petit d. Tres interessant , je vous le recommande . Que la paix soit avec vous . '
bien, ': E book reader Commentaire : Facile d utilisation , j apprécié beaucoup , néanmoins , il arrive que je ne maîtrise pas le d\' élément et que je retrouve plusieurs pages plus loin '
neutre, ': Commentaire : L \' appli me permet d\' ouvrir mes fichiers pdf sans pb . Mais il faut faire quelque chose pour les pubs intempestives ! '
mauvais, ': Ne lis pas les epub Commentaire : Ce format est pris en charge avec la version 2 mais l\' installation propose que la version 1.6 téléchargement effectué pour rien : -( '
bien, ': Pratique Commentaire : On retrouve tous nos documents dans une seule appli . C\' est très pratique . '
bien, ': Pat Commentaire : Très bien mais si possible rendre la manipulation plus rapide quand on à une recherche à faire d\' une page qu\' on veut lire rapidement , et la ça sera le top , sinon bravo quand même , c\' est le mieux que connais pour l\' instant , merci beaucoup pour votre travail '
bien, ': Parfait sauf Commentaire : Ce serait parfait si il n\' y avait pas les pub '
bien, ': Commentaire : Simple d\' utilisation . La présentation des livres sur les étagères est bluffante et pratique à l\' usage . Merci '
bien, ': Awesome ! ! ! Commentaire : I love the apparence , never had a problem while using it . It\'s a good app . '
bien, ': Parfait Commentaire : Cette application est vraiment parfaite . Je vous le recommande vivement . '
bien, ': Ce que je cherchais Commentaire : Fonctionne très bien un peu de pub mais pas trop gênant '
bien, ': Galaxie snote 8 Commentaire : Suite à la défaillance de Reader Hub j\' ai installé cette appli et récupérer sans problème mes documents et livres '
bien, ': Excellent Commentaire : Super sur galaxy S4 ! ! On a l\' impression de lire dans un livre réel '
mauvais, ': Doesn\'t support epub format Commentaire : App ok , but why epub , if there exist already pdf ? '
bien, ': Nickel Commentaire : Praticité et efficacité . Cette appli tire le maximum des possibilités du téléphone . '
bien, ': Magnifique Commentaire : Cette appli est exelente elle nous permet de telecharger plein de livres '
bien, ': Commentaire : Belle application . Dommage ces pages intempestives de pub , mais bon , il faut accepter ce compromis . Je recommande vivement cette appli . '
bien, ': Chargement rapide , fluide et sobre Commentaire : Les pages se chargent rapidement , on n attend pas devant des pages blanches comme avc d autres app . Pas de fioriture , c\' est clean , fluide . Je m\' en serts majoritairement pour de gros doc PDF et c\' est nickel . '
bien, ': Excellent Commentaire : Application satisfaisante , très pratique , un très bon affichage : ) je ne suis pas déçue . . '
bien, ': Exactement ce que je voulais Commentaire : Très bien pour lire confortablement un livre en pdf '
bien, ': Pas de quoi a ce pleindre Commentaire : Tt tes livres en pdf sont lisent '
neutre, ': Commentaire : On me demande de noter sans l\' avoir utilisé ... Je changerai ma note plus tard '
neutre, ': cool Commentaire : plutôt cool '
bien, ': Livre Commentaire : Parfait pour lire un livre on retrouve facilement sa page '
bien, ': Lecteur PDF simple Commentaire : Application satisfaisante , il est très rapide d\' ajouter les livres présents sur la carte sd . Merci à l\' équipe . '
bien, ': Très bonne application Commentaire : Avec un document PDF que j‘avais créé je n‘arrivais pas à l‘ouvrir avec my librairy lite et la pas de problème , je le recommande vivement '
bien, ': Commentaire : Bien très important pour voir ses livres dans une jolie bibliothèque ‚ mais les toiles d\' araignées doivent être nettoyées '
bien, ': Commentaire : Bonne application . Simple et efficace , j\' apprécie beaucoup l\' interface en forme de bibliothèque où chaque fichier est un livre . A recommander . '
bien, ': Fred Commentaire : Monreader+ est plus sophistiqué mais pour lire de pauvres pdf il faut payer ! ! ... Alors que ce reader est complet et gratuit ! Rapport qualité prix imbattable '
mauvais, ': Commentaire : Pas pratique du tout , impossible de trier correctement ces recherches , nous envoi dans le même rayon quelque soit le choix . A déconseiller , après mettre énerve pendant une heure j\' ai passé ma commande sur mon pc . '
mauvais, ': Commentaire : L application est bien faite , je mets 2 étoiles car c est facile de gonfler les prix et de mettre une réduction à côté pour arriver au prix normal , ( il n y a qu\' a regarder le prix des jouets avant réduction , pour s en rendre compte ) '
bien, ': Vraiment sympa ! : ) Commentaire : Très bonne application ! '
bien, ': Commentaire : J\' aime bien ! Pas mal ... '
bien, ': Application pratique Commentaire : Seul bémol , les notifications ne se mettent pas à jour de manière automatique ... Multiples doublons '
bien, ': Je recommande Commentaire : Tjr o top cdiscount '
neutre, ': Commentaire : Pas mal mais pas a la hauteur de ce que j\' attendais '
bien, ': Commentaire : Bonne application , merci maggle '
mauvais, ': Bien Commentaire : J\' aime . '
bien, ': Commentaire : Bonne application . '
bien, ': Commentaire : ???? c\' est une bonne application '
bien, ': Commentaire : bon appli mais un peu lente pour valider la commande et a du mal à supprimer les articles que l\' on ne veut plus . '
bien, ': Commentaire : J\' adore cette application . '
bien, ': Commentaire : Tres bonne apply '
mauvais, ': Commentaire : Impossible de payer '
bien, ': Commentaire : Indispensable . '
bien, ': Commentaire : Jaime '
mauvais, ': Non compatible Commentaire : Comment ce fait il que le package du fichier soit incompatible ? Ics ? '
mauvais, ': Site escroc . A signaler a la DGCRF . Commentaire : Ne respecte pas ses propres conditions générales de vente . Bafoue le droit de rétractation . Le sav se moque du monde . Si vous retournez votre achat , il vous reviendra car personne pour le recevoir et pas de boite pour l\' avis de passage . Et le comble vous devrez repayer les frais de port pour le récupérer . '
mauvais, ': Commentaire : Le s. a. v est une jolie façon de se faire de l argent pour eux ... . on te fait répéter 15fois tes questions ... on te vole en fait ... sinon sans le s. a. v ça va ! '
mauvais, ': Boof Commentaire : Pas très interactif ! Et la réduction de 15 euros sur le rayon supermarché et inexistant même en téléchargement l\' application '
mauvais, ': beaucoup de chosrs à améliorer Commentaire : Impossible de régler un achat par paypal ! Site bordélique ! trop de pubs ! Pousse à utiliser la carte cdiscount ! Des options payantes de dernière minute au moment du règlement difficiles à éviter ! Peu de réactivité après l\' achat ( attente du mail de confirmation d\' achat ) des dépôts en relais inexistants voir douteux '
mauvais, ': Commentaire : Impossible de payer l\' application me renvoie à chaque fois au menu précédent quand je veut payer et en plus il me met 5 articles alors que j\' en est 1 seul '
mauvais, ': Commentaire : Je vois pas l\' intérêt d\' avoir accès a nos photos vidéos appel etc ... . . Même plus d\' intimité c pathétique '
mauvais, ': Aussi vite désinstallé qu \' installé. . Commentaire : On ne peut même pas imprimerou télécharger les factures depuis l\' appli ni depuis le site mobile , et impossible d\' aller sur le site normal avec un mobile ! Comment fait -on quand on a pas d\' ordinateur ? '
mauvais, ': C\' est une application d\' espionnage ... ... Commentaire : Cette appli demande l\' acces a l\' appareil photo , l\' historique , l\' identite du telephone , les autres applis installé , le micro , etc ... Vous voulez pas mesurer la longueur des poils de ma b**e non plus ? '
mauvais, ': HELLo Commentaire : Édit : appel passé au SC 3979 réponse 1m d\' attente , procédure de remboursement renouvelée + geste commercial 15€ bon achat cumulable . Merci enfin . ( [ [ Bon l\' App est correcte mais ça fais 3 mois que j\' attends mon remboursement de 29€ j\' ai déjà appelé une fois le S-C pour quelques € j\' ai l\' impression qu\' ils attendent qu\' on dépensent l\' équivalent dans la hotline avant de nous rembourser ... Au moins 10 rappels depuis mon compte en ligne ( gratuit ) et RiEN ! ] ] ) '
mauvais, ': Tres perfectible Commentaire : c discount c est bcp ameliore mais cette appli plante souvent de plus elle presente pas comme le site internet et malheureusement bcp de fiches techniques erronnees ou d un autre article dommage pour un vendeur de ce niveau a revoir au plus vite '
mauvais, ': Vraiment nul Commentaire : Je choisis mes articles impossible d\' aller jusqu\' au paiement sa beug pendant 1h n\' importe quoi nul comme appli le site Internet et vraiment mieux et encore ... je recommande pas '
bien, ': Bien . Commentaire : Tres bonne application . J\' ai commender dessus un iphone 5s 32GO or , et je l\' ai bien recu ! '
bien, ': Cdiscount Commentaire : Cette apli es a merveille je conseille d\' installer sur es sécuriser bon shopping a tous mer si au développeur '
mauvais, ': Nul personne s\' occupe de l\' application Commentaire : Cdiscount je voulais achetez galalaxy s5 noir a 450 euro tant pis pour vous je vais les donnez a quelqu\'un d\' autre ... ... '
mauvais, ': Incompétent Commentaire : J\' ai commandé une vitre pour protéger mon écran de téléphone et je ne l\' ai jamais reçu ! ! Je ne vous conseil pas se site . '
mauvais, ': Encore trop de bugs Commentaire : Appli qui rame ( défilement des pages ) , qui tourne parfois dans le vide et qui se ferme route seule . Mais le plus grave est que certains prix affichés sont faux ( ex . du wiko getaway black gold ) : quand vous cliquez sur l\' article ce n\' est plus le même prix ! Seul avantage par rapport à la version web , ce sont les promos flash , encore faut il arriver à valider la commande sans que ça beugue . Bref ampli intéressante mais y\'a encore du boulot ! '
mauvais, ': nul Commentaire : Fait beuguè mon tel et commander un lit reçu cassé et pas complet ! '
bien, ': Bien Commentaire : Mais encore quelques bugs d\' affichage '
neutre, ': Commentaire : Bonne appli assez pratique mais les temps de chargelent sont parfois bien trop long ce qui gache l\' utilisation de l\' appli et je ne pense pas que se soit du a ma connexion car je n\' ai pas ce genre de problèles avec les autres applications '
bien, ': Offre commercial intéressante via cette application . Commentaire : Pas mal d\' offre sympa via l\' application mobile , sinon pour le reste ça fonctionne ce qui est déjà très bien de nos jours : ) '
neutre, ': Pourquoi pas de mode paysage ? Commentaire : Allez soyons fou à quand une vraie version tablette ? '
mauvais, ': Commentaire : Bonne appli seul bemol des fois ca rame et impossible d acceder au contenu . Dommage '
neutre, ': Trop de bugs Commentaire : J\' aime cette application le seul problème c\' est que la plupart du temps les videos bug et je n\' arrive pas a les voir ou bien elles sont longues a charger mais dans ce cas c\' est vraiment vraiment vraiment super lent donc ça serait bien de régler ça sinon super app '
neutre, ': Video making bug Xperia M2 Commentaire : The video playback does not work ( except for the final render ) on the video editor . Also my viewers says the sound of my vines are pretty low . I\'m on a Xperia M2 '
bien, ': Mieu que mieu Commentaire : Difficile de faire mieu que cette app , devant snap mais derrière fb '
bien, ': C\' est trop cool Commentaire : J\' aime trop cette application ! ? '
neutre, ': Cool mais ... Commentaire : J\' aime beaucoup cette application , le seul problème est que quand je veux mettre une vidéo de ma galerie sa marche 1 fois sur 100 ! Donc vite corriger ce problème qui est très ennuyeux . '
neutre, ': Super mais lent Commentaire : L\' application marche a merveille mais les vidéos prennent du temps a chargée '
bien, ': Très Bonne application Commentaire : Mais comment incruster des musiques lors des Vines ? ? ? '
neutre, ': What ? ! Commentaire : What ? ! Je ne peux pas prendre des vidéo ... J\' ai un Samsung galaxy trend lite ... Help et les vidéos mettent 3 plombe pour charger ... '
mauvais, ': Maj vite ! ! Commentaire : J\' arrive pas a mettre une vidéo ( que j\' ai pourtant filmé avec vine ) en ligne ! ! ! '
bien, ': Commentaire : \' est énorme regardez catégorie humour Jerome jarre c\' est énorme ^^ '
mauvais, ': Commentaire : ine beug je me suis déconnecté afin de vérifier quelque chose et une fois que je veux me reconnecter il dise que l\' adresse ou le mots de passe est incorrect j\' ai recréé un compte avec la même adresse le même code et cela ne m\' informe même pas que l\' adresse est déjà utilisé j\' ai refait la même opération et sa a refait la même chose résultats j\' ai perdu mon compte et je ne peut n\' y utiliser mon adresse n\' y réinitialisé mon mot de passe vue qu\' il ne m\' envoi rien quand je clique sur réinitialisé '
neutre, ': Bug Commentaire : L\' application bug depuis la dernière mise à jour dommage impossible de voir d\' autre profils '
neutre, ': Pas mal Commentaire : A part le fait que les videos sont courtes . Je ne reçois pas mon code de confirmation par SMS aussi . '
bien, ': Cooooooool Commentaire : C\' est marrant de voir que les gens ont pas de chance '
bien, ': Vine Commentaire : Vous avez 5 sec . pour Délirer ... '
mauvais, ': Commentaire : annot upload videos from phone gallery ... '
mauvais, ': Commentaire : e sais pas cmt sa marche mais sa parait cool '
bien, ': Commentaire : ool '
neutre, ': Commentaire : a dernière mise à jour à mis l\' application nul '
bien, ': Génial Commentaire : J\' adore ce réseau social ! '
bien, ': It Was Good Commentaire : It was the best in the world mother fucker '
neutre, ': mise à jour Commentaire : depuis la nouvelle mise à jour c\' est vraiment nul '
neutre, ': Commentaire : onne appli mais Je sens que je vais désinstaller cette apllication depuis la mise à jour jarrive plus à me connecter sur mon propre compte '
bien, ': Darrrrrr Commentaire : Je vous le conseil '
bien, ': Commentaire : jouter un éditeur de son serait parfait '
mauvais, ': Galaxy s3 Commentaire : Ca bug trop ! '
mauvais, ': Je suis déçu Commentaire : Je n\' arrive pas à m\' inscrire '
bien, ': Commentaire : e top ! '
bien, ': Commentaire : xcellent je le conseil vivement '
mauvais, ': Commentaire : mpossible de créer un compte : -( '
bien, ': Commentaire : ieu que snap : ) '
bien, ': Commentaire : rop bien '
neutre, ': Commentaire : rop de bug en ce moment '
bien, ': J\' aime trop ! Commentaire : Cette appli est grave bien ! '
mauvais, ': Ohlala Commentaire : Pas mal de bugs en ce moment. . ?? '
neutre, ': Géniale mais Commentaire : Géniale mais gros bug , on ne peux plus chercher les gens ou alors on les trouve mais ça ne marche pas . '
bien, ': Bonne maj Commentaire : Depuis la mise à jour je n\' ai plus de problème , rien à dire ? '
neutre, ': Super mais ... Commentaire : Je n\' arrive pas à activer mon tel . J\' ai beau faire une demande de renvoi d\' sms , rien n\' y fait . Dommage pour les messages . Donc 3? . 5 si MAJ '
bien, ': Bof Commentaire : Je ne peut pas regarder de vidéo ça ne charge pas pareil pour les profits ! vous pourrez changé ça svp ? '
bien, ': Code de confirmation Commentaire : J\' ai mis mon numéro pour qu\' il m\' envoie un code de confirmation mais il ne m\' ont rien envoyer '
bien, ': Menu Commentaire : L appli est exellente mais n\' ayant pas de bouton menu sur le galaxy S5 je ne petit pas retirer les match en favoris c\' est pour ça l\' étoile en moins . Merci de remédier a ce petit problème . '
bien, ': Très bonne application Commentaire : J\' adore le foot et cette application me convient tout n\' est pas parfait . on arrive quand même à suivre à telecharge sans attendre '
bien, ': Commentaire : ppli parfaite ! Seul petit détail et pas des moindres je reçois aucune notification même en mettant les matchs en favori . Je suis sur lg g3 '
mauvais, ': Gros bug Commentaire : A chaque fois que je lance l\' aplication elle se ferme et affiche " resultat foot s\' est arreter '
bien, ': Commentaire : xcellente application ! Énorme choix de matchs à travers le monde et pas de décalages notables avec le direct ! : - ) '
bien, ': Cool Commentaire : Cool et gant je dit cool c et coul '
bien, ': Commentaire : rès bien mais le problème c\' est que les alertes buts sont très décalées par rapport à Flash Résultat '
bien, ': Tres bien Commentaire : J ai essayer toute les application et la meilleur et celle ci en plus on peut choisir c equipe prefere et voir tout de suite ces resultats . Je la conseille cette aplis . '
bien, ': Commentaire : \' aime bien cette appli seul bémol y\'a pas le mode paysage surtout pour les tablette dommage ! ! ! ? '
bien, ': Trop cool Commentaire : Jaimerais pouvoir voir le classement des meilleurs buteurs sinon la qualité pour suivre le match est vraiment parfaite '
neutre, ': Il y a un manque ... Commentaire : Possesseur d \' un S5 , il n y a pas la touche pour acceder au menu de l " appli et par consequent impossible d aller directement sur les classements ... dommage ! '
neutre, ': Bonne appli Commentaire : Manque un peu de fonctionnalité , de diversité et de fluidité dans l\' interface mais à part ça très bonne appli qui fait bien son taff avec de bons détails sur les matchs de bonnes infos et un bon suivis en direct avec de bonnes alertes etc ! ! une appli simple et pratique d\' utilisation . '
bien, ': Bien Commentaire : J\' adore cette appli je m\' en sers tout le temps . '
bien, ': Commentaire : res bien je mes 5 etoiles mais attention au bug pour la mise a jour '
bien, ': Magnifique Commentaire : Je n ai pas trouver de mieux sur les résultat avec une précision . '
bien, ': Ses trop kifan ! ! : - ) Commentaire : Jador mai ses inpeu en retard les but can je regarde en meme tan a la télé mai jaime bien + et infiniter '
bien, ': Bien Commentaire : Cette appli me sert beaucoup j\' aime bien tout les matin je peu voir les résultat des match de la veille '
bien, ': Commentaire : res à l\' aise avc 7 aplk . La connection est facile et les matchs sont du 100 % directs '
bien, ': sympathique Commentaire : je trouve le site assez bien : ) le petit bémol c\' est qu\' il y a un décalage avec les action . '
bien, ': Commentaire : e met une note de 5 appli parfaite dommage que avec les galaxy note 4 je n ai plus aces au classements '
bien, ': Une appli d\' enfer Commentaire : Elle est trop cool en plus je peux avoir des résultat de match que je ne peux pas regarder '
bien, ': Exellent Commentaire : Alerte but exetera tout est bien en plus les photos c\' est Paris contre le Barça et voilà tout est bien il manque juste regarder le match ! ! ! ! '
bien, ': parfait Commentaire : je n\' ai ni bein sports ni canal + . j\' adore le foot et cette apli me permet de suivre mes equipe . A TÉLÉCHARGE '
bien, ': Fan de foooot Commentaire : Suppper ! Alors avec cette aplis je rate aucun match : ) ! ! ! ! . . Dommage qu\' il n\' y a pas de commentaire pour les match féminin '
bien, ': Commentaire : rès bonne apli . Merci . Vive le foot(sans haine ) . '
bien, ': Bugg Commentaire : Gro bugg laplis se bloc sa arret . mise a jour urgente '
bien, ': Une chose importente Commentaire : Apps est tres bonne sans defaut mais les publicités minimisent la fonctionalité a accés au match se qui reduit la qualité de l\' application et merci au developeurs '
bien, ': Trop cool Commentaire : Super appli , elle me permet de suivre en temps réels mes equipes et mes championnats favoris '
mauvais, ': Oui. . mais Commentaire : J\' aurais(j\'eusse ) aimé avoir le nom des buteurs dans les divisions inférieures . Sinon , très bonne appli si l\' on excepte toutes les fautes de français tant dans les avis que dans les commentaires . '
bien, ': Commentaire : rop bonne application pour les resultats des matchs , et surtout sur les informations des buts , des cotes etc ... . '
bien, ': Commentaire : \' est dommage que les compositions d\' équipes ne soit pas détaillés à plat sur un terrain sinon très bonne appli ! '
