@relation play_store_comments
@attribute ps_class {mauvais, neutre, bien}
@attribute text String
@data
neutre, ' appli  permettre ouvrir fichier pdf  pb  falloir faire chose pub intempestif '
mauvais, 'lire epub    format être prendre charge version installation proposer version téléchargement  effectuer rien '
bien, 'pratique retrouver document seul appli  être pratique '
bien, 'pat possible rendre manipulation rapide recherche faire page vouloir lire être top être connaître instant merci travail '
bien, 'parfait être parfait avoir pub '
bien, ' simple utilisation présentation livre étagère être bluffante  pratique usage merci '
bien, 'Awesome   lover the  apparence never  had  avoir problem  while  using  it  It\'s  avoir good  app  '
bien, 'parfait application être parfaire recommander '
bien, 'chercher   fonctionner pub gêner '
bien, 'galaxie snote   suite défaillance avoir installer appli  récupérer problème document livre '
bien, 'excellent  super galaxy  avoir impression lire livre réel '
mauvais, 'Doesn\'t  support epub  format ok  but why  epub  if there  exist  already  pdf  '
bien, 'nickel Praticité  efficacité appli  tirer maximum possibilité téléphone '
bien, 'magnifique appli  être exelente  permettre telecharger  plein livre '
bien, ' beau application dommage page intempestif pub bon falloir accepter compromis recommander appli  '
bien, 'chargement rapide fluide sobre page charger n  attendre page blanc avc  d  autre app  fioriture être clean fluide sert gros doc être nickel '
bien, 'excellent application satisfaisant pratique bon affichage suivre|être décevoir '
bien, 'vouloir   lire livre pdf  '
bien, 'avoir pleindre    Tt  livre pdf  être lire|liser '
neutre, ' demander noter avoir utiliser changer note '
neutre, 'cool cool '
bien, 'livre parfait lire livre retrouver page '
bien, 'lecteur simple application satisfaisant être rapide ajouter livre présent carte sd  merci équipe '
bien, 'bon application   document j‘avais  créer n‘arrivais  l‘ouvrir  my  librairy  liter pas problème recommander '
bien, ' important voir livre joli bibliothèque toile araignée devoir être nettoyer '
bien, ' bon application simple efficace apprécier interface forme bibliothèque fichier être livre recommander '
bien, 'être sophistiquer lire pauvre pdf  falloir payer|payer reader être complet gratuit rapport qualité prix imbattable '
mauvais, ' pratique tout impossible trier recherche envoi même rayon choix déconseiller mettre énerver heure avoir passer commande pc  '
mauvais, ' application être faire mettre étoile c  être facile gonfler prix mettre réduction côté arriver prix normal n  avoir avoir regarder prix jouet réduction s  rendre compte '
bien, 'sympa bon application '
bien, ' aimer '
bien, 'application pratique   seul bémol notification mettre jour manière automatique doubler '
bien, 'recommander o  top cdiscount  '
neutre, ' avoir hauteur attendre '
bien, ' bon application merci maggle  '
mauvais, '  aimer '
bien, ' bon application '
bien, ' ????  être bon application '
bien, ' bon appli  lent valider commande avoir mal supprimer article vouloir '
bien, ' adorer application '
bien, ' Tres  bon apply  '
mauvais, ' impossible payer|payer '
bien, ' indispensable '
bien, ' '
mauvais, 'compatible faire package fichier être incompatible Ics  '
mauvais, 'site escroc signaler avoir  respecter propre condition général vente bafouer droit rétractation sav  moquer monde retourner achat revenir recevoir boite avis passage comble devoir repayer|repayer frai|frais port récupérer '
mauvais, ' v  être joli façon faire l  argent faire répéter 15fois  question voler fait v  aller '
mauvais, 'interactif réduction euro rayon supermarché inexistant téléchargement  application '
mauvais, 'chosrs  améliorer impossible régler achat paypal  site bordélique pub pousse utiliser carte cdiscount  option payant dernier minute moment règlement difficile éviter réactivité achat attente mail confirmation achat dépôt relais inexistant voir douteux '
mauvais, ' impossible payer|payer application renvoyer foi|fois menu précédent vouloir payer|payer mettre article être seul '
mauvais, ' voir intérêt avoir accès avoir photo vidéo appel intimité c  pathétique '
mauvais, 'désinstallé  qu   pouvoir imprimerou  télécharger  facture appli  site mobile impossible aller site normal mobile faire avoir ordinateur '
mauvais, 'être application espionnage appli  demander acces  avoir appareil photo historique identite  telephone  autre applis  installer micro vouloir mesurer longueur poil b**e  '
mauvais, 'édit appel passer réponse 1m  attente procédure remboursement renouveler geste commercial 15€  bon achat cumulable merci être correct faire moi|mois attendre remboursement 29€  avoir appeler foi|fois €  avoir impression attendre dépenser équivalent hotline  rembourser Au  rappel compte ligne gratuit '
mauvais, 'Tres  perfectible c  discount c  être bcp  ameliore  appli  planter presente  site internet  bcp  fiche technique erronnees  d  autre article dommage vendeur niveau avoir revoir '
mauvais, 'nul choisir article impossible aller paiement beug  1h  importer nul appli  site Internet recommander '
bien, ' Tres  bon application avoir commender  iphone  5s  32GO  or avoir recu  '
bien, 'Cdiscount  apli  être avoir merveille conseiller installer être sécuriser bon shopping avoir mer développeur  '
mauvais, 'nul occuper application vouloir acheter galalaxy  s5  noir avoir aller donner avoir autre '
mauvais, 'incompétent avoir commander vitre protéger écran téléphone avoir recevoir conseil site '
mauvais, 'bugs    Appli  ramer défilement page tourner vide fermer route seul grave être prix afficher être faux wiko  getaway  black  gold cliquer article être même prix seul avantage rapport version web  être promo flash falloir arriver valider commande beugue  bref ampli intéressant y\'a  boulot '
mauvais, 'nul faire beuguè  tel commander lit recevoir cassé complet '
bien, '  bugs  affichage '
neutre, ' bon appli  pratique temps chargelent  être gache  utilisation appli  penser être avoir connexion avoir genre problèles  autre application '
bien, 'offre commercial intéressant application  offre sympa application mobile rester fonctionner être jour '
neutre, 'mode paysage  aller être fou vrai version tablette '
mauvais, ' bon appli  seul bemol  foi|fois ca  rame impossible d  acceder  contenu dommage '
neutre, 'bugs    aimer application seul problème être plupart temps videos  bug  arriver avoir voir être longue avoir charger cas être super lent être régler super app  '
neutre, 'Video  making  bug  The  video  playback  does  not  work  except  for the  final render  the  video  editor  my  viewers  says  the  sound  of  my  viner are pretty  low  avoir '
bien, 'Mieu  mieu    difficile faire mieu  app  snap  fb  '
bien, 'être cool aimer application '
neutre, 'cool aimer application seul problème être vouloir mettre vidéo galerie marche foi|fois corriger problème être ennuyeux '
neutre, 'super lent application marche avoir merveille vidéo prendre temps avoir charger '
bien, 'application   incruster musique '
neutre, ' pouvoir prendre vidéo avoir Samsung  galaxy  trend  liter vidéo mettre plombe charger '
mauvais, 'Maj  vite  arriver avoir mettre vidéo avoir filmer viner ligne '
bien, ' être énorme regarder catégorie humour Jerome  jarre être énorme ^^  '
mauvais, ' ine  beug  suivre|être déconnecter vérifier chose foi|fois vouloir reconnecter  dire adresse mot passe être incorrect avoir recréer compte même adresse même code informer adresse être utiliser avoir refaire même opération avoir refaire même chose résultat avoir perdre compte pouvoir utiliser adresse réinitialisé  mot passe voir envoi cliquer réinitialisé  '
neutre, 'application bug  dernier mise jour dommage impossible voir autre profil '
neutre, '  part fait videos  être court recevoir code confirmation SMS  '
bien, 'Cooooooool  être marrant voir gens avoir chance '
bien, 'viner avoir sec '
mauvais, ' annot  upload  videos  from  phone gallery  '
mauvais, ' e  savoir cmt  marche parer cool '
bien, ' ool  '
neutre, ' avoir dernier mise jour mi application nul '
bien, 'génial adorer réseau social '
bien, 'It  It  was  the  best  in the  world  mother  fucker  '
neutre, 'mettre jour   nouveau mise jour être nul '
neutre, ' onne  appli  sentir aller désinstaller  apllication  mise jour jarrive  connecter propre compte '
bien, 'conseil '
bien, ' jouter éditeur son être parfaire '
mauvais, 'Galaxy  s3    Ca  bug  '
mauvais, 'suivre|être décevoir arriver inscrire '
bien, ' e  top '
bien, ' xcellent  conseil '
mauvais, ' mpossible  créer compte '
bien, ' ieu  snap  '
bien, ' rop  '
neutre, ' rop  bug  moment '
bien, 'aimer  appli  être grave '
mauvais, 'bugs  moment.  '
neutre, 'génial   génial gros bug  pouvoir chercher gens trouver marcher '
bien, 'bon maj    mise jour avoir problème rien dire ?  '
neutre, 'super arriver activer tel avoir beau faire demande renvoi sms  faire dommage message 3?  '
bien, 'pouvoir regarder vidéo charger pareil profit pouvoir changer svp  '
bien, 'code confirmation   avoir mettre numéro envoyer code confirmation avoir envoyer '
bien, 'menu appli  être exellente  avoir bouton menu galaxy  petit retirer match favori être étoiler merci remédier avoir petit problème '
bien, 'bon application   adorer foot application convenir|convier être parfait arriver suivre telecharge  attendre '
bien, ' ppli  parfaire seul petit détail moindre recevoir notification même mettre match favori suivre|être lg  '
mauvais, 'gros bug    foi|fois lancer aplication  fermer affiche resultat  foot être arreter  '
bien, ' xcellente  application énorme choix match travers monde décalage notable direct '
bien, 'cool cool gant dire cool c  coul  '
bien, ' rès  problème être alerte but être décaler rapport '
bien, 'Tres  avoir essayer|essayer application meilleur pouvoir choisir c  equipe  prefere  voir suite resultats  conseiller aplis  '
bien, ' aimer appli  seul bémol y\'a  mode paysage tablette dommage '
bien, 'cool  aimerrais  pouvoir voir classement meilleur buteur qualité suivre match être parfaire '
neutre, 'avoir manque possesseur d  n  avoir touche acceder  menu l  appli  consequent  impossible d  aller classement dommage '
neutre, 'bon appli    manquer fonctionnalité diversité fluidité interface part bon appli  faire taff  bon détail match bon infos  bon suivi direct bon alerte appli  simple pratique utilisation '
bien, '  adorer appli  servir temps '
bien, ' res  etoiles  attention bug  mise avoir jour '
bien, 'magnifique n  avoir trouver résultat précision '
bien, 'trop kifan  mai inpeu  retard but can  regarder meme  tan avoir télé mai aimer  infiniter  '
bien, '  appli  servir aimer matin voir résultat match veille '
bien, ' res  aise avc  aplk  connection  être facile match être direct '
bien, 'sympathique trouver site petit bémol être avoir décalage action '
bien, ' e  mettre note appli  parfaire dommage galaxy  noter n  avoir ace classement '
bien, 'appli  enfer   être cool pouvoir avoir résultat match pouvoir regarder '
bien, 'alerte but exetera  être photo être être manquer juste regarder match '
bien, 'parfait avoir bein  sport canal adorer foot apli  permettre suivre equipe  '
bien, 'fan foooot  aplis  rater match dommage avoir  match féminin '
bien, ' rès  bon apli  merci vif foot(sans  haine '
bien, 'Gro  bugg  laplis  bloc arret  mise avoir jour urgent '
bien, 'chose importente  être tres  bon defaut  publicité minimiser fonctionalité  avoir accés  match reduit  qualité application merci developeurs  '
bien, 'cool  super appli  permettre suivre temps réel equipes  championnat favori '
mauvais, 'aurais(j\'eusse  aimer avoir nom buteur division inférieur bon appli  excepter faute français avis  '
bien, ' rop  bon application resultats  match information but cote '
bien, ' être dommage composition équipe être détailler plat terrain bon appli  '
bien, 'super Appli  étoile avoir 5eme  rajouter classement buteur important '
mauvais, 'pire pire important pub chiant probleme  d  horaire c  être faire merde arretez  maj  remettre precedentes  version faire autre job gars '
bien, 'impec  falloir pouvoir régler son alerte femme faire bon min  pouvoir choisir côte différent bookmaker '
mauvais, 'étoile demande autorisation étant inutile infos  appel '
bien, 'super être voir résultat description être '
bien, 'cool cool   super regard match travail même ya télévision '
neutre, 'réinstaller réinstaller bugs  dommage ampli être super '
bien, ' xcellent  être titre seul bémol réglage notification changer '
bien, 'cool cool '
neutre, 'bonjour faire partir équipe choc sommer|être niveau clan point banque avoir devoir gagner apparaître tout gagner xp  clan savoir rien être expliquer attendre reponse  '
bien, 'bugs  magnifique application être parfaire avoir couleur emblème pouvoir modifier classe avoir être '
bien, 'c  bon   énorme information rechercher clan ps4  suivre|être majeur finir foi|fois jeu mode commando vétéran '
neutre, '  pouvoir faire enblème  servir avoir grand chose même Télécharger  juger '
bien, 'prestige ancien call  of    prestige précédent call  of  afficher monde profil petit détail bon être fonctionner '
neutre, 'Beug  hier   avoir faire emblème smartphone  samsung  galaxy  s  appli  vouloir ouvrir '
mauvais, 'nul pouvoir tester mot passe aller dire n  être '
bien, 'mal   opérateur être bon avoir full skin  zombie application mettre black  naked  '
bien, '  bon application conseiller joueur cod  advanced  warfare  '
bien, 'recruter c  être clan nom sourire '
mauvais, 'marche  reconnaître compte j  créer nouveau connecter ?  '
neutre, 'problème emblème historique   pouvoir besoin mettre même emblème team voir historique différent call  of  correct appli  rappel black  ops  changement '
bien, 'application super beug  niveau emblème recruter '
neutre, ' édition embleme  marche '
neutre, 'bonjour gagner xp  clan hier être aretter  monter lvl  avoir jeton l  devai  gagner merci resoudre  souci '
bien, 'problème moyen sauvegarder embleme  part appartenir clan servir rien '
bien, 'recruter team recruter ps3  entretenir kevin2995  envoyer demande application '
bien, ' marcher appli  changer portable merde '
bien, ' Tres  bon appli  dommage pouvoir personnaliser personnage '
bien, 'alexrom51  faucon recruter joueur venir bon applis  '
bien, ' pouvoir gérer clan distance être '
mauvais, 'super nul  super éditeur emblème marquer problème connection  enregistrer faire emblème être supprimer appli  désinstaller  '
mauvais, 'gros bug    application ensemble être bon arriver avoir avoir acces  avoir clan acces  clan appli  servir avoir rien temps temps acces  avoir compte mise avoir jour '
bien, 'chercher clan   chercher clan dynamique sympa faire guerre clan suivre|être majeur préciser ?  '
bien, 'ty  smoky    salut team smoky  recruter ps3  ps4  '
neutre, 'Probleme  operateur    appli  être être avoir modifier perso  jeu appli  voir modification avoir corriger '
mauvais, 'inutile application inutile fonctionner '
bien, 'clan clan recruter bon entente am  '
mauvais, ' marche '
bien, 'recruter niveau contacter x  '
neutre, ' j  avoir trouver classe '
bien, ' faire monter niveau clan '
bien, ' chercher clan psn  dont_you_kild(je  suivre|être prestige lvl25  '
bien, 'petit problème   partie emblème marcher pouvoir copie créer emblème merci prendre compte problème '
mauvais, 'embleme    impossible sauvegarder embleme  cree  editeur  '
mauvais, 'application charger dire connexion serveur avoir être perdre '
mauvais, 'incomplet trouver application mériter contenu fonctionnalité exemple pouvoir créer classe emblème '
neutre, ' avoir pouvoir meme  cheker  guerre cln  voir mode qun  devoir faire vouloir faire geurre  clan '
bien, 'excellent application fonctionner avoir bug  valoir star '
mauvais, 'arriver connecter compte dire jouer partie multijoueur  avoir faire 100aine  '
mauvais, 'gros bug  note  marcher super planter arrêter ouvrir '
mauvais, 'pouvoir ajouter dimage  juste modifier base effet correction œil rouge desinstalle    nul '
mauvais, ' fonctionner cliquer licone  attendre reste image blanc savoir domage  laplication  avoir lair  genial  '
mauvais, 'utilisation impossible   suivre|être tablette samsung  l  appli  telechargee  n  avoir avoir descriptif pouvoir juste choisir photo mettre effet comprendre '
bien, ' super application être dommage pouvoir écrire '
bien, 'cool simple cool version français '
mauvais, 'avoir apeine  télécharger  ca  plante déconseiller '
bien, '
bien, 'Photoshop  super c  être super cool merci super apli  '
mauvais, 'croiyer   voiyent  plusieur  vidéo Youtubers  aller pouvoir faire plein truc pouvoir faire tablette portable pouvoir faire '
bien, 'top   pc  complet photo téléphone '
bien, 'cool avoir plaire|pleuvoir pouvoir changer photo impressionner ami '
mauvais, ' samsung  tab3  pouvoir faire selectionner  photo mettre filtre être décevoir appli  marcher fonctionner mal.  '
mauvais, 'décevoir avoir acheter version touch  galaxy  noter 8€  perdre application avoir compatible galaxy  noter version express être nul voir planter foi|fois ouvrer|ouvrir photo aimer pouvoir retrouver photoshop  touch  note avoir payer|payer être avoir utilité '
bien, 'meilleur application retouche  superbe application filtre option impressionnant être gratuit manquer juste possibilité marquer texte photo '
bien, 'super aimer application résultat être excellent baigner '
bien, 'aimerf   aimer photoshop  avoir ordi  mobile être payant énorme dévélopeur  conseil télécharger  appli  '
bien, 'super être bon application prendre place valoir coup '
mauvais, '  application avoir être chouette avoir choix d  effet '
bien, 'super trop aller pouvoir faire plein truc '
bien, 'excellent  avoir premium  o  top '
mauvais, 'impossible ouvrir avoir E1  application fermer essayer ouvrir dommage '
mauvais, 'inutilisable avoir être compatible note perdre 8€  Malheureusement  pouvoir remplacer puisqu\'il  refermer sélectionner photo modifier redonner '
bien, ' vivre être passion Ahhhhhhh  être super aimere  nouveau version '
bien, 'App  intéressant   essayer atteindre objectif bon chance utilisateur '
bien, 'bon application   être super recommander '
bien, ' vrai manquer juste application ajout texte '
mauvais, 'nul être merde pouvoir juste mettre couleur nul '
mauvais, 'marcher  ouvrer|ouvrir appli  avoir écran blanc avoir notification application répondre conseiller '
bien, 'merci  excellent application amuser production suivre|être studio sympathique '
mauvais, ' être impressionnant tablette pouvoir jjuste  mettre effet c  tt  '
mauvais, ' appli  fermer sélectionner filtre photo '
bien, 'appli  être superbe j  adoooore  wonderful  '
bien, ' Cooool  coool  '
neutre, '  efficace expérience professionnel '
mauvais, 'Coool  '
bien, 'cool cool '
bien, 'super être photographe trouver aplis  génial recommende  info  facebook  statut '
bien, 'cool être cool pouvoir écrire être super '
bien, ' mot super cool ca  faire ca  merite  grace  avoir ca  devenir pro P  fait suivre|être lolman  clash of  clan avoir voir modifier truc telechargement  appli  être asser  long '
bien, 'parfait hall enregistrement être connaître avance porte embarquement être bon ajouter être définir '
bien, ' uper  appli  '
mauvais, 'application arrete    être impossible ouvrir carte embarquement application arrete  message erreur signifant  application être arretée  foi|fois tenter ouvrir carte embarquement avoir probleme  mise avoir jour recente  '
mauvais, 'absence carte embarquement enregistrement pratique être pénible carte embarquement être disponible vol réserver avoir chance marcher être impossible obtenir carte falloir trainer page pratique Pour  enregistrer falloir connaître cœur numéro vol réservation faire aller venir écran application Mes  vol S\'  enregistrer être application pratique condition avoir papier crayon imprimante '
bien, 'fonctionnel bon appli  pratique fonctionnel robuste mauvais comm  3G-  mettre jour temps réel horaire exemple cas retard petit gros seul bémol préférence siège allée/hublot  saisir profil voyageur site sembler être prendre compte problème appli  système résa  général savoir autre amélioration possible indiquer possible porte embarquement être connaître éviter traverser aérogare courant '
bien, 'bon appli    grand chose dire esthétique fonctionnel réussite '
bien, 'efficace  carte embarquement disponible ligne '
bien, ' avoir marche '
bien, ' '
bien, ' rès  utile '
bien, 'pratique  information avoir besoin être '
bien, 'OK  agenda  diable inscrire vol agenda choix '
bien, 'superbe application  évolution ancien version être jour nuit mise jour régulier être appréciable continuer '
bien, 'net amélioration   bon application permettre gagner temps net amélioration suite màj  ergonomie être probleme  enregistrement '
neutre, 'bugs    impossible avoir plan cabine changer siège '
bien, 'bon application   être passer tarif jeune dernier mise jour avoir souci réservation billet lundi attendre mise jour voir aller '
mauvais, 'impossible utiliser nouveau version planter mouliner minute plante avoir foi|fois l  utiliser impossible obtenir boarding  pass  impossible regarder reservations  fonctionner catastrophique '
bien, 'Ok  voyage famille   appli  impassible obtenir carte embarquement voyager famille carte telechargée  appli  personne falloir numéro téléphone différent personne faire qd  avoir enfant téléphone bref retour papier '
mauvais, 'installation application utile facile utilisation être avoir moyen installer tablette portable moyen effet installer tablette android  avoir t  solution rapide '
mauvais, 'pub  appli  vomir pub volet notification désactivation impossible supposer payer billet avion cher désinstalle  '
mauvais, 'inutile voyageur dommage avoir application similaire '
bien, ' rès  pratique pourait  associer carte embarquement disponibilité '
neutre, ' bon application téléphone mobil  exister version tablette tab S  dommage autre exister tablette version tablette tab S  '
mauvais, 'notification étoiler recevoir notification publicitaire être désactiver application '
bien, '  application pratique complet '
bien, 'bon application  design sympa agréable utiliser point négatif icône application être beau espérer mise jour '
bien, 'passage androphone    appli  être génial besoin rien imprimer avoir souci arrivé|arrivée être magique '
mauvais, ' l  avoir '
neutre, 'incompatible galaxy  tab  semaine apres  message mise jour toujour  compatible compatibble  nombreux tablette lowcost  smartphones  low  cost  souci Allo  avoir speciale  '
bien, ' être être normal mise avoir jour revenir écran mise jour Jai  dernier version application sembler acharner renvoyer mise jour pouvoir fair3  deja  faire -/  ennuyant '
bien, '  beau design rapide '
bien, ' k  '
mauvais, 'décevoir appli  fonctionner dernier mise jour carte embarquement vol pub '
neutre, '  n  arriver réserver vol l  appli  faire '
bien, 'parfait  voyager air-france  '
neutre, 'problème enregistrer  desenregistre  souci même rester lourd enregistrer autre vol fonctonne  conserver ancien vol '
neutre, 'complet appli    nouveau version appli  vouloir être impossible enregistrer carte fidélité falloir taper numéro billet dossier réservation pratique autre menu incomplet rubrique coordonnée|coordonnées manquer pays avoir problème devoir composer numéro français lieu numéro local numéro téléphone fonctionner numéro chiffre métropole '
bien, ' pplication  simple utiliser être parfait '
bien, 'cool rien signaler correct '
bien, ' ratique  '
bien, '  bugs  résoudre rajouter étoile pouvoir voir note aller détail film être faute '
mauvais, ' application mettre notification envoyer centaine foi|fois suivre|être obliger mettre mn  portable mode muet tlmt  bruit être insupportable application cesser fonctionner '
bien, 'utile être bon appli  pouvoir savoir film être moment cinéma découvrir série avoir infos  star '
mauvais, 'vouloir  urgent galaxy  s4  choisir cinéma être ok  faire défiler jour programme contredire beug  avancer jour semaine annoncer visionner programme certain figurer cinéma proposer pui  reculer nouveau programme paraître coup obligé d  aller vérifier d  autre site certe  sela  toujour  juste retour désagréable perte temps pouvoir remédier avoir problème merci '
bien, ' être '
bien, ' application avoir évoluer rester défaut goût intégration vidéo article être idéal fil news  devoir pouvoir permettre trier catégorie trouver intéresser continuer être cinquième étoile '
mauvais, ' compte fonctionnalité inaccessible impossible déconnecter noter partager critiquer film '
bien, ' pouvoir proposer film sortir semaine liste sortie afficher lien critique '
neutre, 'beau interface crash fréquent démarrage publicité envahissant '
mauvais, 'Modèrons  modérateur   enlever étoile modèrer  modérateur modérer borne être modérer avoir fermer compte AlloCiné  cause retourner école rire réviser humour devoir critiquer film être bon humeur même avoir impression être foi|fois foutre gueule spectateur dire con oser être reconnaître modérateur '
mauvais, 'tablette vouloir jouer cour|cours grand être capable écouter nombreux voix demander année compatibilité mode paysage possesseur tablette faire '
bien, 'améliorer   début chaotique application allociné  dernier version commencer être respectable rester bugs  mineur '
mauvais, 'News  news  être mettre avoir jour deplus  avoir article permettre mater dommage aplis  faire partir seul applis  tolere  smartphone  jespere  être bug  quil  être corriger avenir '
mauvais, 'bug    Bug  minute utilisation plantage '
bien, 'super appli  lecteur vidéo être terrible coup difficile regarder bande annoncer '
bien, 'paysage portrait   regretter pouvoir avoir choix tablette pouvoir acceder  page qu  mode portraire dommage être suivre|être fan '
bien, ' application bugge  qu  marcher tester t  '
neutre, ' nouveau version priver news  grâce fanzone  être diffuser être informer nouveauté '
neutre, 'option site   pas arrière avoir être faire gros mise jour précédent rétablir avoir accès fonctionnalité site '
bien, 'utile servir tenir informer sorti ciné connaître séance proche '
